threshold,max_component_size,component_precision,component_recall,component_f1,false_merges,false_splits,bcubed_precision,bcubed_recall,bcubed_f1,weighted_error_cost,deferred_edges,meets_precision_floor,selected
0.88,8,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.88,10,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.89,4,0.9735449735449735,0.673992673992674,0.7965367965367965,5,89,0.9878472222222222,0.8605324074074074,0.9198051468030334,114.0,32,True,False
0.89,5,0.9753694581280788,0.7252747252747253,0.8319327731092437,5,75,0.9878472222222222,0.8767361111111112,0.9289810935236913,100.0,18,True,False
0.89,6,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.89,8,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.89,10,0.9773755656108597,0.7912087912087912,0.874493927125506,5,57,0.9878472222222222,0.8975694444444444,0.9405469869040312,82.0,0,True,False
0.9,4,0.9732620320855615,0.6666666666666666,0.7913043478260869,5,91,0.9878472222222222,0.8559027777777778,0.9171538240217618,116.0,32,True,False
0.9,5,0.9752475247524752,0.7216117216117216,0.8294736842105263,5,76,0.9878472222222222,0.8732638888888888,0.9270282701077942,101.0,17,True,False
0.9,6,0.9772727272727273,0.7875457875457875,0.8722109533468559,5,58,0.9878472222222222,0.8940972222222222,0.9386371207462074,83.0,0,True,False
0.9,8,0.9772727272727273,0.7875457875457875,0.8722109533468559,5,58,0.9878472222222222,0.8940972222222222,0.9386371207462074,83.0,0,True,False
0.9,10,0.9772727272727273,0.7875457875457875,0.8722109533468559,5,58,0.9878472222222222,0.8940972222222222,0.9386371207462074,83.0,0,True,False
0.91,4,0.972972972972973,0.6593406593406593,0.7860262008733625,5,93,0.9878472222222222,0.8489583333333334,0.9131517800882168,118.0,31,True,False
0.91,5,0.975,0.7142857142857143,0.8245243128964059,5,78,0.9878472222222222,0.8663194444444444,0.9231006814398669,103.0,16,True,False
0.91,6,0.9770642201834863,0.7802197802197802,0.8676171079429735,5,60,0.9878472222222222,0.8871527777777778,0.9347961676954732,85.0,0,True,False
0.91,8,0.9770642201834863,0.7802197802197802,0.8676171079429735,5,60,0.9878472222222222,0.8871527777777778,0.9347961676954732,85.0,0,True,False
0.91,10,0.9770642201834863,0.7802197802197802,0.8676171079429735,5,60,0.9878472222222222,0.8871527777777778,0.9347961676954732,85.0,0,True,False
0.92,4,0.9833333333333333,0.6483516483516484,0.7814569536423841,3,96,0.9947916666666666,0.8420138888888888,0.912049070573409,111.0,22,True,False
0.92,5,0.9842931937172775,0.6886446886446886,0.8103448275862069,3,85,0.9947916666666666,0.8547453703703705,0.919466390279516,100.0,11,True,False
0.92,6,0.9852941176470589,0.7362637362637363,0.8427672955974843,3,72,0.9947916666666666,0.8697916666666666,0.9281017225325884,87.0,0,True,False
0.92,8,0.9852941176470589,0.7362637362637363,0.8427672955974843,3,72,0.9947916666666666,0.8697916666666666,0.9281017225325884,87.0,0,True,False
0.92,10,0.9852941176470589,0.7362637362637363,0.8427672955974843,3,72,0.9947916666666666,0.8697916666666666,0.9281017225325884,87.0,0,True,False
0.93,4,1.0,0.6227106227106227,0.7674943566591422,0,103,1.0,0.8275462962962963,0.9056364787840405,103.0,11,True,False
0.93,5,1.0,0.652014652014652,0.7893569844789358,0,95,1.0,0.8368055555555556,0.9111531190926276,95.0,3,True,False
0.93,6,1.0,0.6813186813186813,0.8104575163398693,0,87,1.0,0.8460648148148148,0.9166144200626959,87.0,0,True,False
0.93,8,1.0,0.6813186813186813,0.8104575163398693,0,87,1.0,0.8460648148148148,0.9166144200626959,87.0,0,True,False
0.93,10,1.0,0.6813186813186813,0.8104575163398693,0,87,1.0,0.8460648148148148,0.9166144200626959,87.0,0,True,False
0.94,4,1.0,0.608058608058608,0.75626423690205,0,107,1.0,0.8206018518518517,0.901462174189447,107.0,4,True,False
0.94,5,1.0,0.6227106227106227,0.7674943566591422,0,103,1.0,0.8252314814814814,0.9042485732403297,103.0,0,True,False
0.94,6,1.0,0.6227106227106227,0.7674943566591422,0,103,1.0,0.8252314814814814,0.9042485732403297,103.0,0,True,False
0.94,8,1.0,0.6227106227106227,0.7674943566591422,0,103,1.0,0.8252314814814814,0.9042485732403297,103.0,0,True,False
0.94,10,1.0,0.6227106227106227,0.7674943566591422,0,103,1.0,0.8252314814814814,0.9042485732403297,103.0,0,True,False
0.95,4,1.0,0.2454212454212454,0.3941176470588235,0,206,1.0,0.6400462962962963,0.7805222300635144,206.0,0,True,False
0.95,5,1.0,0.2454212454212454,0.3941176470588235,0,206,1.0,0.6400462962962963,0.7805222300635144,206.0,0,True,False
0.95,6,1.0,0.2454212454212454,0.3941176470588235,0,206,1.0,0.6400462962962963,0.7805222300635144,206.0,0,True,False
0.95,8,1.0,0.2454212454212454,0.3941176470588235,0,206,1.0,0.6400462962962963,0.7805222300635144,206.0,0,True,False
0.95,10,1.0,0.2454212454212454,0.3941176470588235,0,206,1.0,0.6400462962962963,0.7805222300635144,206.0,0,True,False
